filing_uuid,dt_posted,client.id,Client Name,Client State,Entity Name,Entity Contribution,entity.ownership_percentage,entity.address,entity.city,entity.state,Entity Country,Country Full Name
311614a3-0148-4787-abb6-ab5601d6c5a4,2021-10-19T14:16:43Z,198413,PROTHROMBIN-TIME SELF TESTING COALITION,DC,LINDE,0,100,Ten Earlsfort Terrace,Dublin 2 D02 T380,,IE,IRELAND
311614a3-0148-4787-abb6-ab5601d6c5a4,2021-10-19T14:16:43Z,198413,PROTHROMBIN-TIME SELF TESTING COALITION,DC,F. HOFFMANN-LA ROUCHE AG,0,100,Grenzacherstrasse 124,Basel,,CH,SWITZERLAND
655a0022-51bb-4ef1-ae95-f0601dec13b3,2021-10-19T13:59:37Z,210677,"DESARROLLADORA Y OPERADORA DE INFRAESTRUCTURA DE HONDURAS, S.A. DE C.V.",,"CONSTRUCTORA Y EDIFICADORA GIA+A, S.A. DE C.V.",0,100,Insurgentes Sur No. 553 Piso 1,Ciudad De Mexico,,MX,MEXICO
655a0022-51bb-4ef1-ae95-f0601dec13b3,2021-10-19T13:59:37Z,210677,"DESARROLLADORA Y OPERADORA DE INFRAESTRUCTURA DE HONDURAS, S.A. DE C.V.",,"GIA HONDURAS, S.A.",0,100,Centro Civico Gubernamental,Tegucigalpa,,HN,HONDURAS
988c0ea3-78a6-4019-8e19-fd53161375e6,2021-10-18T22:47:14Z,198934,AVANIR PHARMACEUTICALS,CA,"OTSUKA PHARMACEUTICAL CO., LTD.",0,100,2-9 Kanda-Tsukasamachi,Tokyo,,JP,JAPAN
18b009a8-2e53-4583-b03b-a8bedc352293,2021-10-18T12:13:00Z,212300,"SOLAMERICA ENERGY, LLC",GA,"OSAKA GAS CO., LTD.",0,42,4-1-2 Hiranomachi Chuo-ku,Osaka 541-0046,,JP,JAPAN
367d1b49-8110-4e5e-89d8-6c82da6026b3,2021-10-15T21:48:58Z,212307,HIGH TECH INVENTORS ALLIANCE,DC,SAMSUNG ELECTRONICS,47500,9,"Samsung GEC, 26, Sangil-ro 6-gil",Seoul,,KR,"KOREA, REPUBLIC OF"
b9be6aa4-a71e-42c7-bb86-d93776683e47,2021-10-15T17:54:31Z,212289,"VINGROUP USA, LLC (DCA VINFAST)",CA,VINGROUP,0,100,"No 7, Bang Lang 1 Street, Viet Hung Ward",Hanoi,,VN,VIETNAM
07b560ea-516c-4383-b975-ff157cc0d577,2021-10-14T23:00:14Z,212268,NATIONAL GRID USA,MA,NATIONAL GRID PLC,0,100,"National Grid plc, 1-3 Strand",London WC2N 5EH,,GB,UNITED KINGDOM
94f96d77-fce3-4f50-a712-bca7ca288b29,2021-10-14T20:52:56Z,212256,"POINTCLICKCARE TECHNOLOGIES, INC.",,POINTCLICKCARE CORP.,105000,100,5570 Explorer Drive,Mississauga,ON,CA,CANADA
216acf48-654c-4269-a9d6-0acd06365d01,2021-10-14T20:21:21Z,209391,VIRGIN GALACTIC,DC,VIRGIN INVESTMENTS LIMITED,0,18,"71 PO Box, Road Town",Tortola,,VG,BRITISH VIRGIN ISLANDS
34eea937-12ec-416b-b45a-518c90db3333,2021-10-14T15:55:02Z,212230,SODERLING INTERNATIONAL LTD DOING BUSINESS AS GRUPO ONYX,,"MANTA, SOCIEDAD ANONIMA",0,100,"Edificio Onyx, 18 Calle 24-20, Zona 10",Ciudad de Guatemala,,GT,GUATEMALA
51aeb4bc-b117-4289-a936-82b9c61005a1,2021-10-14T15:36:03Z,212248,VINEYARD WIND,MA,IBERDROLA,0,50,"Plaza Euskadi, 5 48009",Bilbao,,ES,SPAIN
51aeb4bc-b117-4289-a936-82b9c61005a1,2021-10-14T15:36:03Z,212248,VINEYARD WIND,MA,COPENHAGEN INFRASTRUCTURE PARTNERS,0,50,"Amerika Pl. 29, 2100",Copenhagen,,DK,DENMARK
33cecc7e-2b53-4598-ad9b-72a2e940480c,2021-10-13T20:50:30Z,212096,ALI AZEMI F/B/O UNION ASSOCIATION OF IMK EX-STEEL PIPE FACTORY EMPLOYEES,,ALI AZEMI F/B/O UNION ASSOCIATION OF IMK EX-STEEL PIPE FACTORY EMPLOYEES,0,1,"Village Komogllave, Street Mulla Ademi No. 73","Ferizaj, Kosovo 70000",,MK,MACEDONIA
e6371dbe-24d7-480e-8b6e-32f32aae2fe7,2021-10-12T20:22:31Z,212177,SAP AMERICA,PA,SAP,0,100,Dietmar-Hopp-Allee 16,"Walldorf, Baden-Wurttemberg",,DE,GERMANY
8a5a3ad7-5dcf-4968-8dbd-0e243b325641,2021-10-12T17:47:00Z,212179,GOODFUELS,,FINCO FUEL GROUP B.V.,10000,100,K.P. van der Mandelelaan 120,3062 MB Rotterdam,,NL,NETHERLANDS
a7cd0db9-a236-470e-9558-abf1896287a3,2021-10-12T17:19:08Z,208540,TEL US HOLDINGS,TX,TOKYO ELECTRON LTD.,0,100,Akasaka Biz Tower 3-1 Akasaka 5-chome,"Minato-ku, Tokyo 107-6325",,JP,JAPAN
e0eebdad-4ec8-45f5-a2b5-a038c022b072,2021-10-08T12:45:34Z,212144,"SOLVAY AMERICA, INC.",TX,SOLVAY S.A.,0,100,"Rue De Ransbeek, 310",1120 Brussels,,BE,BELGIUM
0d11040f-1502-42ee-afed-07d300b99b62,2021-10-07T21:41:31Z,212138,ANTOFAGASTA MINERALS S.A.,,INVERSIONES LOS PELAMBRES CHILE LIMITADA,0,93,"Apoquindo 4001 Oficina 1802, Las Condes",Santiago,,CL,CHILE
55154a53-10b9-410c-afa7-14a7fbb61d46,2021-10-07T20:25:53Z,212145,NOVOCURE INC.,PA,NOVOCURE LUXEMBOURG S.A.R.L,0,100,"19, rue de Bitbourg",L-1273 Luxembourg,,LU,LUXEMBOURG
55154a53-10b9-410c-afa7-14a7fbb61d46,2021-10-07T20:25:53Z,212145,NOVOCURE INC.,PA,NOVOCURE GMBH,0,100,Park 6,6039 Root D4,,CH,SWITZERLAND
55154a53-10b9-410c-afa7-14a7fbb61d46,2021-10-07T20:25:53Z,212145,NOVOCURE INC.,PA,NOVOCURE LIMITED,0,100,"2nd Floor, The Forum, Grenville Street","St. Helier, Jersey",,GB,UNITED KINGDOM
2fecfbcb-4f2d-47ef-a3b6-89f091c21903,2021-10-07T18:54:36Z,209656,SCHNEIDER ELECTRIC,MA,SCHNEIDER ELECTRIC INDUSTRIES SE,0,100,35 Rue Joseph Monier 92506,Rueil Malmaison,,FR,FRANCE
2fecfbcb-4f2d-47ef-a3b6-89f091c21903,2021-10-07T18:54:36Z,209656,SCHNEIDER ELECTRIC,MA,SCHNEIDER ELECTRIC INDUSTRIES SAS,0,100,35 Rue Joseph Monier 92506,Rueil Malmaison,,FR,FRANCE
0230b785-00bc-4e50-ac21-09c9da90cd11,2021-10-07T17:57:31Z,212129,FLO SERVICES USA INC.,CA,ADDENERGIE,0,100,"2800 rue Louis Lumiere, # 100",Quebec City,QC,CA,CANADA
f1ede649-2275-4829-a828-ee17c3bd5c99,2021-10-07T14:46:36Z,212117,"WEST PUBLISHING CORPORATION, A THOMSON REUTERS BUSINESS",MN,THOMSON REUTERS CORPORATION,0,100,333 Bay Street,Toronto,ON,CA,CANADA
3e7dfd1f-4d9f-4375-a94d-114a387d4517,2021-10-06T21:42:44Z,212103,"CAE USA, INC",FL,CAE INC.,0,100,8585 Ch. de la Cote-de-Liesse,St-Laurent,QC,CA,CANADA
83d5832f-4907-4c47-b920-2c7925d4a728,2021-10-06T19:56:50Z,212108,MABUS GROUP ON BEHALF OF FINCANTIERI MARINE GROUP LLC,DC,FINCANTIERI S.P.A.,0,72,"Via Genova, 1",Trieste,,IT,ITALY
83d5832f-4907-4c47-b920-2c7925d4a728,2021-10-06T19:56:50Z,212108,MABUS GROUP ON BEHALF OF FINCANTIERI MARINE GROUP LLC,DC,ITALIAN GOVERNMENT,0,42,Italy 00185,Rome,,IT,ITALY
83d5832f-4907-4c47-b920-2c7925d4a728,2021-10-06T19:56:50Z,212108,MABUS GROUP ON BEHALF OF FINCANTIERI MARINE GROUP LLC,DC,"CASSA DEPOSITI E PRESTITI, S.P.A.",0,51,"Via Goito, 4",Rome,,IT,ITALY
83d5832f-4907-4c47-b920-2c7925d4a728,2021-10-06T19:56:50Z,212108,MABUS GROUP ON BEHALF OF FINCANTIERI MARINE GROUP LLC,DC,CDP INDUSTRIA S.P.A.,0,51,"Via Goito, 4",Rome,,IT,ITALY
04b78c27-05af-499e-a18e-abe65445ebdf,2021-10-06T17:51:25Z,212098,"GENENTECH USA, INC.",CA,ROCHE HOLDINGS AG,0,100,Grenzacherstrasse 124,Basel 4070,,CH,SWITZERLAND
e50fe7e2-0bff-40da-b166-c4396e5900c6,2021-10-06T16:47:08Z,180065,"UCB, INC.",CA,UCB S.A,0,100,"Allee de la Recherche, 60 1070 Brussels",Brussels,,BE,BELGIUM
0846c851-57a1-4ea5-b277-9abffb995213,2021-10-05T12:21:34Z,212072,CLENERA,ID,ENLIGHT RENEWABLE ENERGY,0,90,13 Ha'amal St Afek Industrial Pk PO Box 11659,Rosh Ha'ayin 4809249,,IL,ISRAEL
8e461ebb-c783-47c5-998d-ccc6f2787028,2021-10-04T20:11:52Z,212065,ALI AZEMI F/B/O UNION ASSOCIATION OF IMK EX-STEEL PIPE FACTORY EMPLOYEES,,ALI AZEMI F/B/O UNION ASSOCIATION OF IMK EX-STEEL PIPE FACTORY EMPLOYEES,0,1,"Village Komogllave, Street Mulla Ademi No. 73","Ferizaj, Kosovo 70000",,MK,MACEDONIA
8b7f0561-050b-4877-960e-f67f6d3adb4a,2021-10-04T14:37:04Z,212010,SB ENERGY DEVCO HOLDINGS LIMITED,CA,SB ENERGY DEVCO HOLDINGS LIMITED,0,100,69 Grosvenor Street,London,,GB,UNITED KINGDOM
8b7f0561-050b-4877-960e-f67f6d3adb4a,2021-10-04T14:37:04Z,212010,SB ENERGY DEVCO HOLDINGS LIMITED,CA,SOFTBANK GROUP CAPITAL LIMITED,0,100,69 Grosvenor Street,London,,GB,UNITED KINGDOM
8b7f0561-050b-4877-960e-f67f6d3adb4a,2021-10-04T14:37:04Z,212010,SB ENERGY DEVCO HOLDINGS LIMITED,CA,SB ENERGY GLOBAL HOLDINGS LTD.,0,100,69 Grosvenor Street,London,,GB,UNITED KINGDOM
8b7f0561-050b-4877-960e-f67f6d3adb4a,2021-10-04T14:37:04Z,212010,SB ENERGY DEVCO HOLDINGS LIMITED,CA,SOFTBANK GROUP CORP.,120000,100,"1-7-1, Kaigan, Minato-Ku",Tokyo,,JP,JAPAN
8b7f0561-050b-4877-960e-f67f6d3adb4a,2021-10-04T14:37:04Z,212010,SB ENERGY DEVCO HOLDINGS LIMITED,CA,SB ENERGY GLOBAL HOLDINGS ONE LIMITED,0,100,69 Grosvenor Street,London,,GB,UNITED KINGDOM
98097400-d23c-4eb3-990c-10b41988ec32,2021-09-30T21:48:13Z,212032,"PREVICARE USA, INC.",NY,"PREVICARE, INC.",0,100,"82 Richmond Street East, Suite 402","Toronto, M5C 1P1",ON,CA,CANADA
d679e788-d16a-4315-b3b4-bd4d614c6747,2021-09-30T19:03:09Z,212031,JANSTEEL USA,FL,JANSTEEL METAL INDUSTRIES LTD,0,77,22 Haofe,ASHKELON,,IL,ISRAEL
4f29d003-d97d-4e1b-b561-91738fc9d7b5,2021-09-30T18:18:59Z,212029,AUSTAL USA,DC,AUSTAL LTD.,0,100,100 Clarence Beach Road,Henderson 6166,,AU,AUSTRALIA
c7732a84-c1f9-4c99-8e39-fe2406afa1fa,2021-09-29T19:06:15Z,212010,SB ENERGY DEVCO HOLDINGS LIMITED,CA,SOFTBANK GROUP CORP,0,100,"1-7-1, Kaigan, Minato-Ku,",Tokyo,,JP,JAPAN
11a66d3c-314c-44f0-b6af-4bfec2d1a5e3,2021-09-29T15:18:37Z,212008,TEXAS CHILDREN'S HOSPITAL,TX,TEXAS CHILDREN'S HOSPITAL INSURANCE COMPANY LTD. C/O MARSH MANAGEMENT SERVICES CAYMAN LTD,0,0,P.O. Box 1051,Grand Cayman KY1-1102,,KY,CAYMAN ISLANDS
ca593fa7-47fa-473f-96d6-b910f6bf4494,2021-09-28T17:10:23Z,211978,ARIZONA LITHIUM LTD.,,ARIZONA LITHIUM LTD.,18000,100,"1st Floor, 10 Outram Street",West Perth,,AU,AUSTRALIA
f86dc64c-a096-42c6-a1a7-97995d0c82ac,2021-09-27T18:54:05Z,211964,SANYO CORPORATION OF AMERICA,MI,"SANYO TRADING CO., LTD",100,100,"2-11, KANDA NISHIKI-CHO, CHIYODA-KU, TOKYO 10",Tokyo,,JP,JAPAN
0ada951a-ca01-4eb1-aaaf-005cc289d488,2021-09-27T16:42:06Z,211952,ARKEMA INC.,PA,ARKEMA S.A.,0,100,420 Rue d'Estienne d'Orves,Colombes Cedex,,FR,FRANCE
504029fd-7576-4d5d-9418-de65cd533c1e,2021-09-24T18:03:13Z,211843,AFRICELL UK LIMITED,,ADEPTO LTD.,0,39,"Suite 9, Ansuya Estate, Revolution Avenue","Victoria, Mahe",,SC,SEYCHELLES
504029fd-7576-4d5d-9418-de65cd533c1e,2021-09-24T18:03:13Z,211843,AFRICELL UK LIMITED,,AFRICELL GLOBAL HOLDINGS LTD.,0,100,"28 Esplanade, St Helier, Jersey","JE2 3QA,Channel Islands",,GB,UNITED KINGDOM
504029fd-7576-4d5d-9418-de65cd533c1e,2021-09-24T18:03:13Z,211843,AFRICELL UK LIMITED,,LINTEL HOLDING LIMITED,0,56,"28 Esplanade, St Helier, Jersey","JE2 3QA,Channel Islands",,GB,UNITED KINGDOM
d66a4e86-8973-46fe-9b0e-d28198e8ee76,2021-09-23T14:10:23Z,211913,CREDIT SUISSE SECURITIES (USA) LLC,NY,CREDIT SUISSE GROUP AG,0,100,Paradeplatz 8,Zurich,,CH,SWITZERLAND
78ae11de-60a9-4cdd-b2d2-279ed3264810,2021-09-22T21:56:39Z,211908,SOFTBOX SYSTEMS INC.,SC,SOFTBOX SYSTEMS LTD,0,100,Units 1-2 Ridgeway Drakes Drive Long Crendon,Buckinghamshire,,GB,UNITED KINGDOM
16b2991c-5a99-4aa5-a07b-a43e38b97745,2021-09-20T20:59:47Z,211876,DRAX GROUP,,DRAX GROUP PLC,45000,100,Drax Power Station,"Selby, North Yorkshire",,GB,UNITED KINGDOM
de691161-8bb5-44c2-b9d3-2cb5b5feec8b,2021-09-17T14:59:44Z,211860,JINKOSOLAR (U.S.) INC,CA,"JINKO SOLAR CO., LTD.",0,100,"1 Jingke Road, Shangrao Econ. Devel. Zone",Shangrao,,CN,"CHINA, PEOPLES REPUBLIC OF"
de691161-8bb5-44c2-b9d3-2cb5b5feec8b,2021-09-17T14:59:44Z,211860,JINKOSOLAR (U.S.) INC,CA,JINKOSOLAR INVESTMENT LIMITED (HONG KONG),0,100,RM 803 8/F Yue Xiu Build. 160-174 Lockhart,Hong Kong,,CN,"CHINA, PEOPLES REPUBLIC OF"
3c695f87-cb2e-487d-a1a2-14dca5186b20,2021-09-16T15:06:03Z,211847,BLACK SUMMIT FINANCIAL,KY,EUROPORTS GROUP BV,10000,20,"9130 Beveren (Kallo), Land Van","Waaslaan 7, Kaai 1211",,BE,BELGIUM
3c695f87-cb2e-487d-a1a2-14dca5186b20,2021-09-16T15:06:03Z,211847,BLACK SUMMIT FINANCIAL,KY,GEK TERNA SA,17500,35,"85 Mesogion Avenue, 115 26",Athens,,GR,GREECE
3c695f87-cb2e-487d-a1a2-14dca5186b20,2021-09-16T15:06:03Z,211847,BLACK SUMMIT FINANCIAL,KY,EUROPEAN FINANCE & AEORSPACE VENTURES SA,5000,10,"7 Stratigi Str, Filothei - Neo Psychico,","154 51, Athens",,GR,GREECE
9868fafa-84d8-4e58-9b0d-a2ec49a1c222,2021-09-15T21:02:29Z,211840,PUTALA STRATEGIES ON BEHALF OF ASML US LLC,DC,ASML HOLDINGS NV,0,99,De Run 6501 5504 DR,Veldhoven,,NL,NETHERLANDS
9726c112-acd9-45f9-a80d-6fab0c95e63e,2021-09-15T20:43:47Z,211843,AFRICELL UK LIMITED,,AFRICELL HOLDING LIMITED,0,100,"28 Esplanade, St Helier, Jersey","JE2 3QA,Channel Islands",,GB,UNITED KINGDOM
1d94910a-7aed-4c35-b344-e7b1613e2113,2021-09-15T16:20:42Z,211831,FRESENIUS MEDICAL CARE NORTH AMERICA,MA,FRESENIUS MEDICAL CARE AG,0,100,61346,Bad Homburg,,DE,GERMANY
5030e9a8-83d2-489e-989e-8545c54bf492,2021-09-15T16:03:32Z,211817,"SANTANDER HOLDINGS USA, INC.",DC,"BANCO SANTANDER, S.A",0,100,Avda de Cantabria s/n 28660 Boadilla del Mont,Madrid,,ES,SPAIN
38da2b0e-9f8e-44ac-84b5-0e7cf5510d02,2021-09-15T15:58:06Z,211835,NATIXIS,,BPCE SA,0,100,50 avenue Pierre Mendes,Paris 75013,,FR,FRANCE
63308d65-bf52-415b-ab51-251f07015135,2021-09-13T20:18:55Z,211783,ITINERA INFRASTRUCTURE & CONCESSIONS,NY,ASTM,0,100,"Corso Regina Margherita, 165 10144",Turin,,IT,ITALY
63308d65-bf52-415b-ab51-251f07015135,2021-09-13T20:18:55Z,211783,ITINERA INFRASTRUCTURE & CONCESSIONS,NY,ARDIAN,0,40,"20, Place Vendome 75001",Paris,,FR,FRANCE
63308d65-bf52-415b-ab51-251f07015135,2021-09-13T20:18:55Z,211783,ITINERA INFRASTRUCTURE & CONCESSIONS,NY,GAVIO,0,60,"Viale Isonzo, 14/1 20135",Milan,,IT,ITALY
8906f408-95e6-4bd0-b258-d1199a6254b4,2021-09-10T17:46:43Z,211762,ROBERT BOSCH LLC,DC,ROBERT BOSCH GMBH,0,100,Robert-Bosch-Platz 1,Gerlingen,,DE,GERMANY
2bd8a99a-451c-4cad-96c3-a86b6f62ac5a,2021-09-09T14:38:34Z,202775,"ELECTRIFY AMERICA, LLC",VA,VOLKSWAGEN AG,0,100,"Berliner Ring 2, 38440",Wolfsburg,,DE,GERMANY
2bd8a99a-451c-4cad-96c3-a86b6f62ac5a,2021-09-09T14:38:34Z,202775,"ELECTRIFY AMERICA, LLC",VA,PORSCHE AUTOMOBIL,0,31,Porscheplatz 1 70435,Stuttgart,,DE,GERMANY
902dc329-ac95-4601-a989-34cc49da00f6,2021-09-08T18:29:39Z,200887,"ASCENT SOLAR TECHNOLOGIES, INC.",CO,"CROWDEX INVESTMENT, LLC U.S. COMPANY WITH 100% GERMAN OWNERSHIP",0,63,"16775 South State Street, Suite B",Dover,DE,US,UNITED STATES OF AMERICA
da5260aa-136a-4dfd-aab4-bdbbe8198b57,2021-09-07T18:32:58Z,211732,ONFIDO INC.,DE,"ONFIDO, LTD.",0,100,"3 Finsbury Ave, 5th Floor","London, EC2M 2PA",,GB,UNITED KINGDOM
f7dff413-8c5f-41c3-8f2e-c69902957128,2021-09-03T20:56:27Z,211707,PERNOD RICARD USA,DC,PERNOD RICARD SA,0,100,"5, cours Paul Ricard",75008 Paris,,FR,FRANCE
6210fa33-6ec4-4437-91b0-9a3fe7cb47b0,2021-09-02T19:58:28Z,211697,"LUPIN, INC.",MD,"LUPIN, LTD",0,100,"Floor 3, Kalpataru Inspire Off. Western Expwy",Mumbai,,IN,INDIA
8087a696-262d-44eb-94a9-876111d33cd1,2021-09-02T16:02:14Z,211689,WINDWARD US,DC,WINDWARD LTD.,0,100,2 Hashlosha Street,Tel Aviv,,IL,ISRAEL
6e6af0ea-b527-41b0-be1c-b30f1d6952a8,2021-09-01T22:30:11Z,211669,AIPHARMA GLOBAL HOLDINGS LIMITED,,JULIA HELIN,0,25,Margreteberg 20,Jarlasa,,SE,SWEDEN
6e6af0ea-b527-41b0-be1c-b30f1d6952a8,2021-09-01T22:30:11Z,211669,AIPHARMA GLOBAL HOLDINGS LIMITED,,OMAR ARRAB,0,55,"14th Floor, One JLT",Dubai,,AE,UNITED ARAB EMIRATES
c852f8a2-4265-4e18-b04b-7edef9f1eb8d,2021-08-31T21:21:19Z,211679,"CPPI, CO.",MN,CANADIAN INTERNATIONAL PHARMACY ASSOCIATION,0,0,101-478 River Avenue Suite 725,Winnipeg,MB,CA,CANADA
47d447bf-f435-4af2-9c40-33a6a4834bea,2021-08-31T19:51:18Z,100595,"VOLKSWAGEN GROUP OF AMERICA, INC.",DC,VOLKSWAGEN AG,0,100,"Berliner Ring 2, 38440",Wolfsburg,,DE,GERMANY
47d447bf-f435-4af2-9c40-33a6a4834bea,2021-08-31T19:51:18Z,100595,"VOLKSWAGEN GROUP OF AMERICA, INC.",DC,PORSCHE AUTOMOBIL,0,31,Porscheplatz 1 70435,Stuttgart,,DE,GERMANY
bb873174-383f-4201-816e-2ae6800c6e0d,2021-08-31T19:30:01Z,149637,"VOLKSWAGEN GROUP OF AMERICA, INC.",DC,VOLKSWAGEN AG,0,100,"Berliner Ring 2, 38440",Wolfsburg,,DE,GERMANY
bb873174-383f-4201-816e-2ae6800c6e0d,2021-08-31T19:30:01Z,149637,"VOLKSWAGEN GROUP OF AMERICA, INC.",DC,PORSCHE AUTOMOBIL,0,31,Porscheplatz 1 70435,Stuttgart,,DE,GERMANY
7cbc317b-b869-4e1b-a479-d48228e5a276,2021-08-31T17:41:08Z,203367,"CRISPR THERAPEUTICS, INC.",MA,CRISPR THERAPEUTICS AG,250000,100,Baarerstrasse 14,6300 Zug,,CH,SWITZERLAND
15e45dc2-db00-4fa0-90e5-80084a220b52,2021-08-27T19:50:03Z,171983,"BUNGE NORTH AMERICA, INC",DC,"BUNGE, LTD.",0,100,2 Church Street,Hamilton,,BM,BERMUDA
15e45dc2-db00-4fa0-90e5-80084a220b52,2021-08-27T19:50:03Z,171983,"BUNGE NORTH AMERICA, INC",DC,SUNTRADE SE,5000,0,"19-21a, Bohdana Khmelnitskogo Str., 7th Floor",Kyiv,,UA,UKRAINE
ea5d57fb-10b0-46ad-a6b6-1d56384ac46a,2021-08-26T18:14:39Z,211632,ECOSTRAT USA INC.,MI,ECOSTRAT INC.,0,50,60 St. Clair Avenue E #404,Toronto,ON,CA,CANADA
9baebf59-1974-40f5-8d80-9807fe2f7538,2021-08-26T15:34:25Z,140421,THE WORLD DOG ALLIANCE LIMITED,,HIROSHI HORIIKE,120000,100,"21/F. King Palace Plaza, No 55 Yip Street","Kwun Tong, Kowloon 99907",,HK,HONG KONG SAR
f981b5fa-da0e-4554-9489-96a6a124291b,2021-08-26T03:34:16Z,211620,"ASML US, LLC",CT,ASML VELDHOVEN,0,100,De Run 6501,"5504 DR, Veldhoven",,NL,NETHERLANDS
60bab58b-6377-404f-8fcd-c6db4cbde6e1,2021-08-25T22:22:54Z,211615,"CAE USA, INC.",FL,CAE INC.,0,100,8585 Ch. de la Cote-de-Liesse,St-Laurent,QC,CA,CANADA
0dd09a55-62f6-48a9-8631-e67c79fa1de6,2021-08-25T15:06:51Z,211626,RESTAURANT BRANDS INTERNATIONAL DBA RBI,FL,3G RESTAURANT BRANDS HOLDINGS LP (AFFILIATE OF 3G CAPITAL),0,32,"600 Third Avenue, 37th Floor",New York,NY,US,UNITED STATES OF AMERICA
0dd09a55-62f6-48a9-8631-e67c79fa1de6,2021-08-25T15:06:51Z,211626,RESTAURANT BRANDS INTERNATIONAL DBA RBI,FL,RBI INTERNATIONAL,0,100,130 KING STREET WEST SUITE 300,Toronto,ON,CA,CANADA
a8777224-b318-482d-8373-a6d62bf846af,2021-08-24T21:09:04Z,211622,ATLASSIAN,CA,ATLASSIAN CORPORATION PLC,0,100,"Level 6, 341 George St","Sydney, NSW 2000",,AU,AUSTRALIA
73b04302-2e06-4fcf-b922-089cbe27696d,2021-08-24T19:41:22Z,202771,RESTAURANT BRANDS INTERNATIONAL US SERVICES LLC,FL,3G RESTAURANT BRANDS HOLDINGS LP,0,28,"PO Box 309, Ugland House",Grand Cayman,,KY,CAYMAN ISLANDS
80c3ece7-7acc-49d4-8064-f2a0be164857,2021-08-24T17:21:24Z,211598,OMNOVA SOLUTIONS INC.,OH,SYNTHOMER PLC.,0,100,45 Pall Mall,London,,GB,UNITED KINGDOM
5292bd9e-2a8c-4ea9-b67d-18c43549da11,2021-08-24T15:00:47Z,203772,CITGO PETROLEUM CORPORATION,TX,"PETROLEOS DE VENEZUELA, S.A. (""PDVSA""), CONTROLLED BY THE AD HOC ADMINISTRATIVE BOARD OF PDVSA",0,100,N/A,N/A,,VE,VENEZUELA
